NL Sentence,FOL Formula
There exists a box with length and height and width.,exists x (is_box(x) & with_length(x) & with_height(x) & with_width(x))
The pipe has a simple hole with diameter.,"exists x exists y (is_pipe(x) & has_hole(x, y) & is_simple(y) & with_diameter(y))"
There exists a pipe with diameter.,exists x (is_pipe(x) & with_diameter(x))
There exists a coil with diameter and revol and height and angle and section size.,exists x (is_coil(x) & with_diameter(x) & with_revol(x) & with_height(x) & with_angle(x) & with_section size(x))
There is a arc on the YZ plane with center and start and end.,exists x (is_arc(x) & on_yz(x) & with_center(x) & with_start(x) & with_end(x))
There exists a pipe with diameter.,exists x (is_pipe(x) & with_diameter(x))
There is a arc on the YZ plane with center and start and end.,exists x (is_arc(x) & on_yz(x) & with_center(x) & with_start(x) & with_end(x))
The sphere has a simple hole with diameter.,"exists x exists y (is_sphere(x) & has_hole(x, y) & is_simple(y) & with_diameter(y))"
There exists a sphere with diameter.,exists x (is_sphere(x) & with_diameter(x))
The pipe has a counterbore hole with diameter and counterbore diameter and counterbore depth.,"exists x exists y (is_pipe(x) & has_hole(x, y) & is_counterbore(y) & with_diameter(y) & with_counterbore diameter(y) & with_counterbore depth(y))"
There exists a box with length and height and width.,exists x (is_box(x) & with_length(x) & with_height(x) & with_width(x))
cylinder is on the YZ plane.,exists x (solid(x) & on_yz(x))
There is a circle on the ZX plane with center and radius.,exists x (is_circle(x) & on_zx(x) & with_center(x) & with_radius(x))
sphere is on the ZX plane.,exists x (solid(x) & on_zx(x))
The box has a simple hole with diameter.,"exists x exists y (is_box(x) & has_hole(x, y) & is_simple(y) & with_diameter(y))"
The torus has a counterbore hole with diameter and counterbore diameter and counterbore depth.,"exists x exists y (is_torus(x) & has_hole(x, y) & is_counterbore(y) & with_diameter(y) & with_counterbore diameter(y) & with_counterbore depth(y))"
sphere is on the XY plane.,exists x (solid(x) & on_xy(x))
sphere is on the XY plane.,exists x (solid(x) & on_xy(x))
The torus has a countersink hole with diameter and countersink diameter and countersink angle.,"exists x exists y (is_torus(x) & has_hole(x, y) & is_countersink(y) & with_diameter(y) & with_countersink diameter(y) & with_countersink angle(y))"
A planar joint connects torus and coil.,"exists x exists y exists z (is_planar(z) & is_joined_by(x, y, z) & solid(x) & solid(y) & joint(z))"
torus is on the ZX plane.,exists x (solid(x) & on_zx(x))
The cylinder has a simple hole with diameter.,"exists x exists y (is_cylinder(x) & has_hole(x, y) & is_simple(y) & with_diameter(y))"
cylinder is on the XY plane.,exists x (solid(x) & on_xy(x))
There is a line on the ZX plane with start and end.,exists x (is_line(x) & on_zx(x) & with_start(x) & with_end(x))
A rigid joint connects cylinder and coil.,"exists x exists y exists z (is_rigid(z) & is_joined_by(x, y, z) & solid(x) & solid(y) & joint(z))"
The cylinder has a simple hole with diameter.,"exists x exists y (is_cylinder(x) & has_hole(x, y) & is_simple(y) & with_diameter(y))"
There exists a coil with diameter and revol and height and angle and section size.,exists x (is_coil(x) & with_diameter(x) & with_revol(x) & with_height(x) & with_angle(x) & with_section size(x))
The torus has a counterbore hole with diameter and counterbore diameter and counterbore depth.,"exists x exists y (is_torus(x) & has_hole(x, y) & is_counterbore(y) & with_diameter(y) & with_counterbore diameter(y) & with_counterbore depth(y))"
A cylindrical joint connects torus and cylinder.,"exists x exists y exists z (is_cylindrical(z) & is_joined_by(x, y, z) & solid(x) & solid(y) & joint(z))"
sphere is on the YZ plane.,exists x (solid(x) & on_yz(x))
The torus has a simple hole with diameter.,"exists x exists y (is_torus(x) & has_hole(x, y) & is_simple(y) & with_diameter(y))"
There exists a box with length and height and width.,exists x (is_box(x) & with_length(x) & with_height(x) & with_width(x))
cylinder is on the XY plane.,exists x (solid(x) & on_xy(x))
There is a line on the ZX plane with start and end.,exists x (is_line(x) & on_zx(x) & with_start(x) & with_end(x))
A rigid joint connects box and sphere.,"exists x exists y exists z (is_rigid(z) & is_joined_by(x, y, z) & solid(x) & solid(y) & joint(z))"
There exists a box with length and height and width.,exists x (is_box(x) & with_length(x) & with_height(x) & with_width(x))
sphere is on the YZ plane.,exists x (solid(x) & on_yz(x))
There exists a coil with diameter and revol and height and angle and section size.,exists x (is_coil(x) & with_diameter(x) & with_revol(x) & with_height(x) & with_angle(x) & with_section size(x))
There exists a sphere with diameter.,exists x (is_sphere(x) & with_diameter(x))
